#temp,#2.1,#1.76,#1.2,#0.7
0.844,2.25994,2.03456,1.59103,1.22752
0.845,2.26646,2.03862,1.59236,1.2278
0.846,2.26942,2.0398,1.59207,1.22746
0.847,2.27407,2.04235,1.59256,1.22742
0.848,2.28046,2.04629,1.59381,1.22767
0.849,2.28327,2.04735,1.59347,1.22732
0.85,2.28955,2.0512,1.59467,1.22755
0.851,2.29405,2.0536,1.59507,1.22747
0.852,2.29847,2.05595,1.59544,1.22739
0.853,2.30287,2.05827,1.5958,1.2273
0.854,2.30719,2.06053,1.59612,1.22721
0.855,2.31324,2.06417,1.5972,1.22739
0.856,2.31747,2.06635,1.59748,1.22728
0.857,2.32166,2.06849,1.59774,1.22716
0.858,2.34496,2.08586,1.60637,1.23019
0.859,2.35087,2.08932,1.60732,1.23032
0.86,2.33736,2.07736,1.59984,1.22729
0.861,2.34307,2.0807,1.60075,1.22742
0.862,2.34873,2.08399,1.60164,1.22753
0.863,2.35432,2.08722,1.60249,1.22764
0.864,2.35812,2.08903,1.60256,1.22745
0.865,2.36185,2.09078,1.60261,1.22726
0.866,2.36726,2.09386,1.60338,1.22733
0.867,2.37261,2.09689,1.60412,1.2274
0.868,2.3779,2.09986,1.60483,1.22745
0.869,2.38139,2.10141,1.60476,1.22722
0.87,2.38654,2.10427,1.60541,1.22725
0.871,2.39336,2.10844,1.60677,1.22754
0.872,2.39666,2.10982,1.60662,1.22728
0.873,2.4016,2.11251,1.60717,1.22728
0.874,2.40649,2.11514,1.6077,1.22727
0.875,2.41129,2.1177,1.60818,1.22724
0.876,2.41603,2.12022,1.60864,1.22721
0.877,2.42068,2.12266,1.60907,1.22716
0.878,2.42699,2.12639,1.61018,1.22737
0.879,2.42979,2.12737,1.60982,1.22703
0.88,2.43421,2.12963,1.61014,1.22695
0.881,2.44197,2.13448,1.61185,1.22738
0.882,2.44608,2.13647,1.61203,1.22724
0.883,2.4494,2.13786,1.61189,1.22699
0.884,2.45504,2.14104,1.61271,1.22709
0.885,2.4599,2.14362,1.6132,1.22708
0.886,2.46484,2.14625,1.61373,1.22707
0.887,2.46986,2.14895,1.61428,1.22708
0.888,2.47462,2.15143,1.61473,1.22704
0.889,2.47946,2.15397,1.6152,1.22702
0.89,2.48436,2.15656,1.6157,1.22701
0.891,2.48917,2.15908,1.61616,1.22698
0.892,2.49404,2.16164,1.61665,1.22697
0.893,2.49898,2.16424,1.61716,1.22696
0.894,2.50382,2.16677,1.61762,1.22694
0.895,2.50871,2.16933,1.61811,1.22692
0.896,2.51366,2.17194,1.61862,1.22692
0.897,2.5185,2.17445,1.61908,1.22689
0.898,2.52339,2.17701,1.61956,1.22688
0.899,2.52832,2.17959,1.62006,1.22687
0.9,2.5333,2.18221,1.62057,1.22687
0.901,2.53816,2.18473,1.62103,1.22685
0.902,2.5429,2.18715,1.62145,1.22681
0.903,2.54783,2.18971,1.62194,1.2268
0.904,2.5528,2.1923,1.62244,1.22679
0.905,2.55763,2.19479,1.62288,1.22677
0.906,2.56248,2.19729,1.62333,1.22674
0.907,2.56736,2.1998,1.62379,1.22673
0.908,2.57226,2.20232,1.62426,1.22671
0.909,2.57717,2.20485,1.62473,1.2267
0.91,2.58193,2.20727,1.62514,1.22666
0.911,2.58685,2.2098,1.62561,1.22665
0.912,2.59178,2.21233,1.62608,1.22664
0.913,2.5967,2.21486,1.62654,1.22662
0.914,2.60161,2.21738,1.62701,1.22661
0.915,2.60636,2.21976,1.6274,1.22657
0.916,2.61124,2.22225,1.62785,1.22655
0.917,2.6161,2.22471,1.62828,1.22653
0.918,2.62093,2.22716,1.62871,1.2265
0.919,2.62589,2.22969,1.62918,1.22649
0.92,2.63065,2.23207,1.62957,1.22646
0.921,2.63551,2.23453,1.63,1.22644
0.922,2.64033,2.23695,1.63042,1.22641
0.923,2.64509,2.23932,1.63081,1.22637
0.924,2.64995,2.24176,1.63123,1.22635
0.925,2.65457,2.24402,1.63157,1.22629
0.926,2.65943,2.24646,1.63199,1.22627
0.927,2.66435,2.24894,1.63243,1.22626
0.928,2.66903,2.25123,1.63278,1.22621
0.929,2.67361,2.25345,1.6331,1.22615
0.93,2.67823,2.2557,1.63343,1.22609
0.931,2.68304,2.25808,1.63382,1.22606
0.932,2.70364,2.27223,1.64012,1.22814
0.933,2.71006,2.27578,1.64108,1.2283
0.934,2.70056,2.2675,1.63613,1.22637
0.935,2.7055,2.26996,1.63657,1.22636
0.936,2.71055,2.27251,1.63704,1.22636
0.937,2.71556,2.27502,1.6375,1.22635
0.938,2.72052,2.2775,1.63794,1.22634
0.939,2.72528,2.27981,1.6383,1.2263
0.94,2.73025,2.28228,1.63874,1.22629
0.941,2.7354,2.28488,1.63925,1.2263
0.942,2.7403,2.2873,1.63966,1.22628
0.943,2.74508,2.28962,1.64002,1.22625
0.944,2.75014,2.29214,1.64049,1.22625
0.945,2.75517,2.29465,1.64094,1.22624
0.946,2.76016,2.29711,1.64138,1.22623
0.947,2.76509,2.29953,1.64179,1.22622
0.948,2.76994,2.30189,1.64217,1.22619
0.949,2.77495,2.30436,1.64261,1.22618
0.95,2.77996,2.30683,1.64305,1.22618
0.951,2.78482,2.30919,1.64343,1.22615
0.952,2.78976,2.3116,1.64384,1.22613
0.953,2.79488,2.31413,1.64431,1.22614
0.954,2.79975,2.31649,1.64469,1.22611
0.955,2.80461,2.31883,1.64507,1.22608
0.956,2.80966,2.32131,1.64551,1.22608
0.957,2.8145,2.32364,1.64588,1.22605
0.958,2.81945,2.32604,1.64629,1.22604
0.959,2.82436,2.3284,1.64667,1.22601
0.96,2.82916,2.33068,1.64702,1.22598
0.961,2.83417,2.33312,1.64744,1.22597
0.962,2.83897,2.3354,1.64779,1.22594
0.963,2.84363,2.33757,1.64809,1.22589
0.964,2.84832,2.33977,1.64839,1.22584
0.965,2.85309,2.34201,1.64872,1.2258
0.966,2.85773,2.34417,1.64901,1.22575
0.967,2.86229,2.34626,1.64927,1.22568
0.968,2.86668,2.34822,1.64946,1.2256
0.969,2.88182,2.35794,1.65339,1.22681
0.97,2.88853,2.36155,1.65437,1.227
0.971,2.88464,2.35754,1.65169,1.22592
0.972,2.88975,2.36002,1.65213,1.22592
0.973,2.89479,2.36243,1.65255,1.22591
0.974,2.89968,2.36474,1.65291,1.22589
0.975,2.90464,2.36709,1.65329,1.22587
0.976,2.90975,2.36955,1.65372,1.22587
0.977,2.91475,2.37192,1.65412,1.22586
0.978,2.91966,2.37423,1.65448,1.22583
0.979,2.92463,2.37658,1.65486,1.22582
0.98,2.92949,2.37884,1.6552,1.22579
0.981,2.93434,2.3811,1.65554,1.22576
0.982,2.93923,2.38338,1.65589,1.22573
0.983,2.94385,2.38547,1.65614,1.22567
0.984,2.9482,2.38736,1.65631,1.22559
0.985,2.95233,2.38909,1.6564,1.22547
0.986,2.95592,2.39044,1.65631,1.2253
0.987,2.9693,2.39875,1.65951,1.22625
0.988,2.9768,2.40285,1.66071,1.22652
0.989,2.97492,2.40031,1.65878,1.22571
0.99,2.97989,2.40262,1.65915,1.2257
0.991,2.98479,2.40489,1.65949,1.22567
0.992,2.98928,2.40686,1.6597,1.2256
0.993,2.99286,2.40818,1.6596,1.22542
0.994,3.00117,2.41284,1.66106,1.22578
0.995,3.00782,2.41632,1.66197,1.22595
0.996,3.00967,2.41642,1.6613,1.22558
0.997,3.01536,2.41922,1.6619,1.22565
0.998,3.0196,2.421,1.66201,1.22555
0.999,3.02537,2.42384,1.66263,1.22562
1,2.02182,1.71774,1.33366,1.11354
1.001,1.00611,1.00429,1.002,1.00068
1.002,1,1,1,1
1.003,1,1,1,1
1.004,1,1,1,1
1.005,1,1,1,1
1.006,1,1,1,1
1.007,1,1,1,1
1.008,1,1,1,1
1.009,1,1,1,1
1.01,1,1,1,1
1.011,1,1,1,1
1.012,1,1,1,1
1.013,1,1,1,1
1.014,1,1,1,1
1.015,1,1,1,1
1.016,1,1,1,1
1.017,1,1,1,1
1.018,1,1,1,1
1.019,1,1,1,1
1.02,1,1,1,1
1.021,1,1,1,1
1.022,1,1,1,1
1.023,1,1,1,1
1.024,1,1,1,1
1.025,1,1,1,1
1.026,1,1,1,1
1.027,1,1,1,1
1.028,1,1,1,1
1.029,1,1,1,1
1.03,1,1,1,1
1.031,1,1,1,1
1.032,1,1,1,1
1.033,1,1,1,1
1.034,1,1,1,1
1.035,1,1,1,1
1.036,1,1,1,1
1.037,1,1,1,1
1.038,1,1,1,1
1.039,1,1,1,1
1.04,1,1,1,1
1.041,1,1,1,1
1.042,1,1,1,1
1.043,1,1,1,1
1.044,1,1,1,1
1.045,1,1,1,1
1.046,1,1,1,1
1.047,1,1,1,1
1.048,1,1,1,1
1.049,1,1,1,1
1.05,1,1,1,1
1.051,1,1,1,1
1.052,1,1,1,1
1.053,1,1,1,1
1.054,1,1,1,1
1.055,1,1,1,1
1.056,1,1,1,1
1.057,1,1,1,1
1.058,1,1,1,1
1.059,1,1,1,1
1.06,1,1,1,1
1.061,1,1,1,1
1.062,1,1,1,1
1.063,1,1,1,1
1.064,1,1,1,1
1.065,1,1,1,1
1.066,1,1,1,1
1.067,1,1,1,1
1.068,1,1,1,1
1.069,1,1,1,1
1.07,1,1,1,1
1.071,1,1,1,1
1.072,1,1,1,1
1.073,1,1,1,1
1.074,1,1,1,1
1.075,1,1,1,1
1.076,1,1,1,1
1.077,1,1,1,1
1.078,1,1,1,1
1.079,1,1,1,1
1.08,1,1,1,1
1.081,1,1,1,1
1.082,1,1,1,1
1.083,1,1,1,1
1.084,1,1,1,1
1.085,1,1,1,1
1.086,1,1,1,1
1.087,1,1,1,1
1.088,1,1,1,1
1.089,1,1,1,1
1.09,1,1,1,1
1.091,1,1,1,1
1.092,1,1,1,1
1.093,1,1,1,1
1.094,1,1,1,1
1.095,1,1,1,1
1.096,1,1,1,1
1.097,1,1,1,1
1.098,1,1,1,1
1.099,1,1,1,1
1.1,1,1,1,1
1.101,0.999999,0.999999,1,1
1.102,0.999999,1,1,1
1.103,1,1,1,1
1.104,1,1,1,1
1.105,1,1,1,1
1.106,1,1,1,1
1.107,1,1,1,1
1.108,1,1,1,1
1.109,1,1,1,1
1.11,1,1,1,1
1.111,1,1,1,1
1.112,1,1,1,1
1.113,1,1,1,1
1.114,1,1,1,1
1.115,1,1,1,1
1.116,1,1,1,1
1.117,1,1,1,1
1.118,1,1,1,1
1.119,1,1,1,1
1.12,1,1,1,1
1.121,1,1,1,1
1.122,1,1,1,1
1.123,1,1,1,1
1.124,1,1,1,1
1.125,1,1,1,1
1.126,1,1,1,1
1.127,1,1,1,1
1.128,1,1,1,1
1.129,1,1,1,1
1.13,1,1,1,1
1.131,1,1,1,1
1.132,1,1,1,1
1.133,1,1,1,1
1.134,1,1,1,1
1.135,1,1,1,1
1.136,1,1,1,1
1.137,1,1,1,1
1.138,1,1,1,1
1.139,1,1,1,1
1.14,1,1,1,1
1.141,1,1,1,1
1.142,1,1,1,1
1.143,1,1,1,1
1.144,1,1,1,1
1.145,1,1,1,1
1.146,1,1,1,1
1.147,1,1,1,1
1.148,1,1,1,1
1.149,1,1,1,1
1.15,1,1,1,1
1.151,1,1,1,1
1.152,1,1,1,1
1.153,1,1,1,1
1.154,1,1,1,1
1.155,1,1,1,1
1.156,1,1,1,1
1.157,1,1,1,1
1.158,1,1,1,1
1.159,1,1,1,1
1.16,1,1,1,1
1.161,1,1,1,1
1.162,1,1,1,1
1.163,1,1,1,1
1.164,1,1,1,1
1.165,1,1,1,1
1.166,1,1,1,1
1.167,1,1,1,1
1.168,1,1,1,1
1.169,1,1,1,1
1.17,1,1,1,1
1.171,1,1,1,1
1.172,1,1,1,1
1.173,1,1,1,1
1.174,1,1,1,1
1.175,1,1,1,1
1.176,1,1,1,1
1.177,1,1,1,1
1.178,1,1,1,1
1.179,1,1,1,1
1.18,1,1,1,1
1.181,1,1,1,1
1.182,1,1,1,1
1.183,1,1,1,1
1.184,1,1,1,1
1.185,1,1,1,1
1.186,1,1,1,1
1.187,1,1,1,1
1.188,1,1,1,1
1.189,1,1,1,1
1.19,1,1,1,1
1.191,1,1,1,1
1.192,1,1,1,1
1.193,1,1,1,1
1.194,1,1,1,1
1.195,1,1,1,1
1.196,1,1,1,1
1.197,1,1,1,1
1.198,1,1,1,1
1.199,1,1,1,1
1.2,1,1,1,1
